Outreach Activity [Title],Action [CTA],Date,Link,Opportunity [Description],Why It Matters,Who Can Get Involved,Internet Issue,Region,Type,Archived,Creation date
WSIS+20 Working Group,Join WSIS+20 Working Group,Ongoing,https://community.internetsociety.org/s/group/0F9UO000000088r0AA/wsis20-2025-working-group,Join our WSIS+20 Working Group and help shape the future of our Internet vision and global policy. The WSIS+20 review is a key moment for digital development. Its outcomes will guide future UN action and stakeholder involvement.,"Ensuring the Internet remains secure, open, and trustworthy.","Individual Members, Chapter Members, Chapter Leaders, Alumni",Internet Governance,Global,Ongoing Opportunities,,2025-07-21T09:08:14Z
Community Dialogue: The Evolution of the Internet Governance Forum (IGF),Join IGF dialogue,2025-07-30,https://isoc.zoom.us/meeting/register/KXXmXzIrSXyRBfMY7ulxeA#/registration,"Hear from our community expert, Flávio Wagner from our Brazil Chapter, how the IGF has evolved over its 20 years of existence and join a lively discussion on which role the IGF should play in the future, and how.",The global community is taking stock of two decades of progress toward achieving the WSIS vision and the IGF mandate is up for renewal.,"Individual Members, Chapter Members, Chapter Leaders, Organization Members, Alumni",Internet Governance,Global,Events & Workshops,,2025-07-23T07:49:32Z
WSIS+20 Five-Point Plan Follow-up: Eight Practical Recommendations,Endorse WSIS+20 Recommendations,2025-07-31,https://www.gp-digital.org/wsis20-five-point-plan-follow-up-eight-practical-recommendations/,With Global Partners Digital (GPD) and a group of cross-stakeholders we have drafted Eight Practical Recommendations for the WSIS review with the aim of presenting tangible recommendations on how the WSIS co-facilitators can facilitate a transparent and inclusive process for the WSIS review.,"Ensuring transparency, inclusivity, and meaningful stakeholder engagement in the WSIS+20 review process.","Individual Members, Chapter Leaders, Organization Members",Internet Governance,Global,Urgent: Upcoming Deadlines,,2025-07-23T09:44:00Z
Expert Group for a Technology Roadmap on Encryption [European Commission],Apply to join Expert Group,2025-09-01,https://ec.europa.eu/transparency/expert-groups-register/screen/expert-groups/consult?lang=en&groupID=4005&fromCallsApplication=true,"The European Commission is forming an informal Expert Group to “focus on current and future technical challenges impacting lawful access to digital information in the context of criminal investigations”. It is looking for technically skilled professionals with domain-specific expertise, especially in cybersecurity, telecom, big data analysis, digital forensics, fundamental rights, and data technologies.",There are concerns about how the roadmap frames strong encryption as a barrier to the EU's internal security and describes “lawful access” as an uncontested goal.,"Individual Members, Chapter Members, Chapter Leaders, Organization Members, Alumni",Security,Europe,Urgent: Upcoming Deadlines,,2025-07-23T09:47:23Z
Internet Society's New Advocacy Strategy – Session 1,"Register for Session 1 [EN, ES, FR]",2025-08-06,https://isoc.zoom.us/meeting/register/nmwbsthkT8qvSsLMhVUSTw#/registration,"Learn about our new Advocacy Strategy—a bold, collaborative effort to strengthen our ability to influence the decisions that shape the Internet’s future. Whether you're a long-time advocate or just getting started, your voice and actions matter. Join us to discover how you can play a key role in advancing our shared mission and defending what makes the Internet a force for good.","As threats to an open, globally connected Internet grow, our collective voice and strategic action are more critical than ever.","Individual Members, Chapter Leaders, Organization Members, Alumni",Policy,Global,Events & Workshops,,2025-07-23T09:59:52Z
Internet Society's New Advocacy Strategy – Session 2,Register for Session 2 [EN only],2025-08-07,https://isoc.zoom.us/meeting/register/qPhFqyaFShiI9xpowJ5fkQ#/registration,"Learn about our new Advocacy Strategy—a bold, collaborative effort to strengthen our ability to influence the decisions that shape the Internet’s future. Whether you're a long-time advocate or just getting started, your voice and actions matter. Join us to discover how you can play a key role in advancing our shared mission and defending what makes the Internet a force for good.","As threats to an open, globally connected Internet grow, our collective voice and strategic action are more critical than ever.","Individual Members, Chapter Leaders, Organization Members, Alumni",Policy,Global,Events & Workshops,,2025-07-23T09:59:52Z
Endorse the Internet Society’s Contribution to the WSIS+20 Elements Paper,Endorse ISOC contribution,2025-08-31,https://www.internetsociety.org/our-work/internet-governance/world-summit-on-the-information-society-wsis/wsis20-elements-paper/,"Thank you to those who have already endorsed our written contribution to the WSIS+20 Elements Paper. We have submitted our document to the United Nations and listed the initial endorsers on our website. The opportunity to endorse this contribution will remain open for a few days while we wait for the co-facilitators to release the WSIS+20 Zero Draft, which will be the next document in this process. You can endorse the contribution on behalf of your organization or in your personal capacity.",Ensure our community’s voice contributes to shaping WSIS+20 outcomes that reaffirm the WSIS principles as critical enablers of an Internet for everyone.,"Individual Members, Chapter Members, Chapter Leaders, Organization Members, Alumni, Internet Pioneers",Internet Governance,Global,Urgent: Upcoming Deadlines,,2025-07-30T09:12:39Z
2025 Global Encryption Day Grants,Apply for GEC grant,2025-08-21,https://www.globalencryption.org/global-encryption-day-2025-event-grants/,"The 2025 GEC grant applications will be accepted from 5 - 28 August (or until 50 grants have been distributed!). Applications are reviewed on a rolling basis by Internet Society staff. We encourage applicants to apply early as funds will be distributed on a first-come, first-served basis.",End-to-end encryption protects us all – we need to protect it!,Chapter Leaders,Security,Global,Funding & Support,,2025-07-31T07:37:48Z
Fundraising and Financial Sustainability Training Series,Register for the training,2025-08-05,https://nonprofitbuilder.org/isoc-npb-capacity-strengthening-program-2025/page,"This training series is designed to support your chapter in exploring new funding options beyond ISOC support, strengthening your financial resilience, and putting in place clear, actionable systems for resource mobilisation.",Take important steps to becoming financially sustainable.,Chapter Leaders,Community,Global,Funding & Support,,2025-07-31T13:02:15Z
Serve on the Internet Society Board of Trustees Nominations and Elections Committees,Apply for Committees,2025-08-22,https://isoc.app.box.com/notes/1918440663962?s=1e0cuy48w68flmmbhqp6jqr58pq48aja,"The Internet Society requests that the Chapters Advisory Council (ChAC) identify one (1) volunteer to serve on the ISOC Nominations Committee AND one (1) volunteer to serve on the ISOC Elections Committee for the 2025-2026 nominations and elections cycle.

Find the volunteer requirements, time commitments, and more details about what each committee’s remit is below.",Exercise your right to ensure that suitable candidates are slated for election.,Chapter Leaders,Community,Global,Urgent: Upcoming Deadlines,,2025-08-06T10:10:01Z
